model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.67,0.5572916666666666,0.6948051948051948,0.6184971098265896,0.7228645338401436
XGBoost,0.68,0.6,0.5064935064935064,0.5492957746478874,0.7182979622004012
Gradient Boosting,0.6325,0.5259259259259259,0.461038961038961,0.4913494809688581,0.6816466054270932
Random Forest,0.6275,0.5172413793103449,0.487012987012987,0.5016722408026756,0.6630371660859466
